Season,Age,Tm,Lg,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,19,CLE,NBA,79,79,3122,622,1492,.417,63,217,.290,347,460,.754,99,333,432,465,130,58,273,149,1654
2004-05,20,CLE,NBA,80,80,3388,795,1684,.472,108,308,.351,477,636,.750,111,477,588,577,177,52,262,146,2175
2005-06,21,CLE,NBA,79,79,3361,875,1823,.480,127,379,.335,601,814,.738,75,481,556,521,123,66,260,181,2478
2006-07,22,CLE,NBA,78,78,3190,772,1621,.476,99,310,.319,489,701,.698,83,443,526,470,125,55,250,171,2132
2007-08,23,CLE,NBA,75,74,3027,794,1642,.484,113,359,.315,549,771,.712,133,459,592,539,138,81,255,165,2250
2008-09,24,CLE,NBA,81,81,3054,789,1613,.489,132,384,.344,594,762,.780,106,507,613,587,137,93,241,139,2304
2009-10,25,CLE,NBA,76,76,2966,768,1528,.503,129,387,.333,593,773,.767,71,483,554,651,125,77,261,119,2258
2010-11,26,MIA,NBA,79,79,3063,758,1485,.510,92,279,.330,503,663,.759,80,510,590,554,124,50,284,163,2111
2011-12,27,MIA,NBA,10,10,374,106,186,.570,0,5,.000,78,104,.750,12,73,85,75,20,7,39,21,290
Career,,,NBA,637,636,25545,6279,13074,.480,863,2628,.328,4231,5684,.744,770,3766,4536,4439,1099,539,2125,1254,17652
